product_id,old_sku,new_sku,name
8067,,TZ-PLAY-ONEP-00F1,"One Piece Burning Blood"
8066,,TZ-PLAY-NIER-6C19,"Nier: Automata"
8065,,TZ-PLAY-NBA2-345B,"NBA 2K18"
8064,,TZ-PLAY-NIOH-DD5D,"Nioh 2"
8063,,TZ-PLAY-META-4547,"Metal Gear Solid V: The Phantom Pain"
8062,,TZ-PLAY-MASS-95A3,"Mass Effect Anoromeda"
8061,,TZ-PLAY-MONO-BADD,"Monopoly Family Fun Pack"
8060,,TZ-PLAY-MONS-D2B0,"Monster Hunter: World"
8059,,TZ-PLAY-LEGO-D60F,"Lego Star Wars: The Force Awakens"
8058,,TZ-PLAY-KILL-6BA3,"Killing Floor 2"
8057,,TZ-PLAY-KILL-5B17,"Killzone Shadow Fall"
8056,,TZ-PLAY-KING-9BA4,"Kingdom Hearts III"
8055,,TZ-PLAY-KING-8A4F,"Kingdoms of Amatur Re-Reckoning"
8054,,TZ-PLAY-JOGO-30E0,"Jogo Tales of Zestiria"
8053,,TZ-PLAY-JSTA-0AC0,"J-Stars Victory VS+"
8052,,TZ-PLAY-JUST-B379,"Just Dance 2019"
8051,,TZ-PLAY-JUDG-3497,"Judgment"
8050,,TZ-PLAY-JUST-E8D6,"Just Cause 3"
8049,,TZ-PLAY-HORI-4A78,"Horizon Zero Dawn/Driveclub/Ratchet & Clank"
8048,,TZ-PLAY-HORI-21D8,"Horizon Zero Dawn Complete Edition"
8047,,TZ-PLAY-HORI-7528,"Horizon Zero Dawn"
8046,,TZ-PLAY-HOME-874B,"Homefront: The Revolution"
8045,,TZ-PLAY-GRAN-2E79,"Grand Theft Auto 5 Premium Edition"
8044,,TZ-PLAY-GODO-C377,"God of War/Horizon Zero Dawn: Complete Edition/The Last of Us Remastered"
8043,,TZ-PLAY-GODO-6B63,"God of War/Horizon Zero Dawn: Complete Edition"
8042,,TZ-PLAY-GODO-8804,"God of War/Detroit: Become Human/The Last of Us Remastered"
8041,,TZ-PLAY-GODE-B996,"God Eater 2 Rage Burst"
8040,,TZ-PLAY-FORH-FA56,"For Honor Deluxe Edition"
8039,,TZ-PLAY-FORH-4C5A,"For Honor"
8038,,TZ-PLAY-FINA-B92B,"Final Fantasy XV Day One Edition"
8037,,TZ-PLAY-FINA-2C1A,"Final Fantasy VII Remake"
8036,,TZ-PLAY-FINA-DD28,"Final Fantasy Type-0 HD Special Edition"
8035,,TZ-PLAY-FINA-AD67,"Final Fantasy Type-0 HD"
8034,,TZ-PLAY-FIFA-D685,"FIFA 23"
8033,,TZ-PLAY-FIFA-8DA0,"FIFA 21 Champions Edition"
8032,,TZ-PLAY-FIFA-6023,"FIFA 20"
8031,,TZ-PLAY-FIFA-0B29,"FIFA 19 Champions Edition"
8030,,TZ-PLAY-FIFA-F758,"FIFA 19"
8029,,TZ-PLAY-FIFA-2CC2,"FIFA 18"
8028,,TZ-PLAY-FIFA-B3D0,"FIFA 17 Deluxe Edition"
8027,,TZ-PLAY-FIFA-24DC,"FIFA 17"
8026,,TZ-PLAY-FIFA-5139,"FIFA 16 Deluxe Edition"
8025,,TZ-PLAY-FIFA-1C3A,"FIFA 16"
8024,,TZ-PLAY-FIFA-95ED,"FIFA 15"
8023,,TZ-PLAY-FATE-FE7C,"Fate Extella: The Umbral Star"
8022,,TZ-BRAN-ZORR-D970,"Zorro The Chronicles"
8014,,TZ-BRAN-WAKU-C434,"Waku Waku Sweets"
8012,,TZ-BRAN-UMIH-0D89,"Umihara Karrase: Fresh!"
8011,,TZ-BRAN-TWOP-7953,"Two Point Campus Enrollment Edition"
8009,,TZ-BRAN-THEW-8E1E,"The Wonderful 101: Remastered"
8008,,TZ-BRAN-THEL-F5A8,"The Legend of Zelda: Breath of The Wiild"
8006,,TZ-BRAN-THEL-62BB,"The Legend of Zelda: Skyward Sword HD"
8004,,TZ-BRAN-THEL-B629,"The Legend of Heroes: Trails from Zero: Zero no Kiseki Kai"
8001,,TZ-BRAN-THEL-84A1,"The Legends of Heroes: Trails of Cold Steel II Sen No Kiseki II 閃之軌跡 II The Erebonian Civil War"
8000,,TZ-BRAN-THEL-06E2,"The Legends of Heroes: Hajimari No Kiseki 創之軌跡"
7999,,TZ-BRAN-THEL-5F00,"The Legend of Heroes: Trails To Azure Deluxe Edition Ao no Kiseki: Kai 碧之軌跡：改"
7994,,TZ-BRAN-TAIK-A6C2,"Taiko No Tatsujin: Rhythm Festival"
7993,,TZ-BRAN-SURV-43BF,"Survivng The Aftermath"
7990,,TZ-BRAN-SUPE-D5EE,"Super Smash Bros Ultimate"
